timestamp,x,y,z,roll,pitch,yaw
39.5,4.779950923373599,2.8495166788355806,0.0,0.0,-0.0,1.2831314862598635
40.0,4.8111587294423055,2.969179988777146,0.0,0.0,-0.0,1.3704930730991767
40.5,4.828024187505294,3.0713115859519347,0.0,0.0,-0.0,1.4373235815384202
41.0,4.837281195103744,3.160371545997675,0.0,0.0,-0.0,1.5033184652990779
41.5,4.840715905154839,3.2357154147189973,0.0,0.0,-0.0,1.54309431646397
42.0,4.840871053489136,3.300104763119428,0.0,0.0,-0.0,1.6080950706626351
42.5,4.83740500626142,3.3542941123704413,0.0,0.0,-0.0,1.656444123514221
43.0,4.836376087204807,3.3657986978898324,0.0,0.0,-0.0,1.5372314079688452
43.5,4.836376087206291,3.3657986979143413,0.0,0.0,-0.0,1.4707026209416025
44.5,4.838606344417352,3.415223451625159,0.0,0.0,-0.0,1.580702620897193
45.0,4.788264581896915,3.6330595706497086,0.0,0.0,-0.0,1.9678335946299441
45.5,4.681846177886523,3.8309801158580097,0.0,0.0,-0.0,2.150389679254031
46.0,4.54674970555098,4.01075895202806,0.0,0.0,-0.0,2.2637779576483874
46.5,4.398489811464003,4.179972075631061,0.0,0.0,-0.0,2.317550184920324
47.0,4.24193084703975,4.341550902072017,0.0,0.0,-0.0,2.3568493387719744
47.5,4.08158970024539,4.499395513686403,0.0,0.0,-0.0,2.3734983773651694
48.0,3.9177575642251887,4.653608691995837,0.0,0.0,-0.0,2.3970523878987264
48.5,3.7511066890395837,4.80477530248356,0.0,0.0,-0.0,2.4148655339313563
49.0,3.581524795352621,4.952646292536161,0.0,0.0,-0.0,2.4313929924263054
49.5,3.4104352536766087,5.098773742197824,0.0,0.0,-0.0,2.4375325089795146
50.0,3.2386704757543034,5.244107248073554,0.0,0.0,-0.0,2.440264835098358
50.5,3.067296618958373,5.389899789721846,0.0,0.0,-0.0,2.4287226770464554
51.0,2.9005272958498547,5.538132166479714,0.0,0.0,-0.0,2.4005454392090035
51.5,2.759472204161006,5.670785345316673,0.0,0.0,-0.0,2.371505223330465
52.0,2.6442262093020794,5.783061361569494,0.0,0.0,-0.0,2.3812660570435344
52.5,2.5459375148377683,5.8750036076421095,0.0,0.0,-0.0,2.3955434796648447
53.0,2.4616829148443826,5.952416905928982,0.0,0.0,-0.0,2.4009613096120708
53.5,2.3916128675806005,6.016300004366949,0.0,0.0,-0.0,2.4033844279848062
54.0,2.3348183665395914,6.067923886025016,0.0,0.0,-0.0,2.4042279895069933
54.5,2.2880585413364742,6.110376663648631,0.0,0.0,-0.0,2.4046046916644066
55.0,2.2496270310988975,6.145249873062154,0.0,0.0,-0.0,2.404774434449113
56.0,2.2492759842253225,6.145568367648797,0.0,0.0,-0.0,2.6847755952805747
56.5,2.222282379813414,6.1452124919349576,0.0,0.0,-0.0,-3.0984097123767462
57.0,2.008507948338829,6.082043246275632,0.0,0.0,-0.0,-2.6403191843140186
57.5,1.828734427118104,5.948213639164297,0.0,0.0,-0.0,-2.3104603443381375
58.0,1.7123433567536739,5.756800020626007,0.0,0.0,-0.0,-1.9876155331828154
58.5,1.632134641572278,5.546673088407573,0.0,0.0,-0.0,-1.880104902265437
59.0,1.5726141854819584,5.329732632490971,0.0,0.0,-0.0,-1.8114690168718364
59.5,1.5200584581346452,5.110964047427051,0.0,0.0,-0.0,-1.8333206421945685
60.0,1.4494371157109207,4.897438491580363,0.0,0.0,-0.0,-1.9362208426763845
60.5,1.3639096167345344,4.689342520650425,0.0,0.0,-0.0,-1.9589325848464842
61.0,1.2833939335649047,4.4792557175458,0.0,0.0,-0.0,-1.9221203828444111
61.5,1.2071658063981758,4.26756303342486,0.0,0.0,-0.0,-1.912240169961389
62.0,1.131630956776866,4.055621024833853,0.0,0.0,-0.0,-1.91615023050659
62.5,1.0560898616750758,3.8436882301793154,0.0,0.0,-0.0,-1.8933961741444763
63.0,0.9888814933765989,3.6291516832854422,0.0,0.0,-0.0,-1.8617909740459002
63.5,0.9329732085038838,3.4404566486425963,0.0,0.0,-0.0,-1.8593572204021993
64.0,0.8864584899350281,3.290587455051745,0.0,0.0,-0.0,-1.8924778249168068
64.5,0.8436322792305585,3.1684689669674047,0.0,0.0,-0.0,-1.9230972359758856
65.0,0.8055755405442756,3.0678912662790294,0.0,0.0,-0.0,-1.9404862400931757
65.5,0.7696357703640175,2.9771450352439914,0.0,0.0,-0.0,-1.958894854737854
66.0,0.7358179923666364,2.8963526948692273,0.0,0.0,-0.0,-1.973978714428194
66.5,0.7121505872633535,2.8415861731546985,0.0,0.0,-0.0,-1.9853269354781935
67.0,0.7113920979302638,2.8398633833559663,0.0,0.0,-0.0,-1.8094021214216254
67.5,0.7113920979294751,2.839863383351871,0.0,0.0,-0.0,-1.7358500801583265
